Name,Time,Cumulative PnL
V2Test9,2021-Nov-05 13:30:06.474547,0.000000
V2Test9,2021-Nov-05 13:31:06.912379,0.000000
V2Test9,2021-Nov-05 13:32:07.043354,0.000000
V2Test9,2021-Nov-05 13:33:07.179405,0.000000
V2Test9,2021-Nov-05 13:34:07.638393,0.000000
V2Test9,2021-Nov-05 13:35:07.883997,0.000000
V2Test9,2021-Nov-05 13:36:07.989826,0.000000
V2Test9,2021-Nov-05 13:37:08.560692,0.000000
V2Test9,2021-Nov-05 13:38:08.870848,0.000000
V2Test9,2021-Nov-05 13:39:08.983779,0.000000
V2Test9,2021-Nov-05 13:40:09.610966,0.000000
V2Test9,2021-Nov-05 13:41:09.909168,0.000000
V2Test9,2021-Nov-05 13:42:11.316886,0.000000
V2Test9,2021-Nov-05 13:43:12.083258,0.000000
V2Test9,2021-Nov-05 13:44:13.817904,0.000000
V2Test9,2021-Nov-05 13:45:15.133543,0.000000
V2Test9,2021-Nov-05 13:46:15.703443,0.000000
V2Test9,2021-Nov-05 13:47:16.725172,0.000000
V2Test9,2021-Nov-05 13:48:17.477963,0.000000
V2Test9,2021-Nov-05 13:49:18.396506,0.000000
V2Test9,2021-Nov-05 13:50:18.954462,0.000000
V2Test9,2021-Nov-05 13:51:19.269769,0.000000
V2Test9,2021-Nov-05 13:52:19.718248,0.000000
V2Test9,2021-Nov-05 13:53:20.642680,0.000000
V2Test9,2021-Nov-05 13:54:21.499708,0.000000
V2Test9,2021-Nov-05 13:55:22.609008,0.000000
V2Test9,2021-Nov-05 13:56:23.561584,0.000000
V2Test9,2021-Nov-05 13:57:24.410637,0.000000
V2Test9,2021-Nov-05 13:58:25.185566,0.000000
V2Test9,2021-Nov-05 13:59:25.516219,0.000000
V2Test9,2021-Nov-05 14:00:26.327859,0.000000
V2Test9,2021-Nov-05 14:01:27.241169,0.000000
V2Test9,2021-Nov-05 14:02:29.633068,0.000000
V2Test9,2021-Nov-05 14:03:29.929737,0.000000
V2Test9,2021-Nov-05 14:04:30.442594,0.000000
V2Test9,2021-Nov-05 14:05:32.411608,0.000000
V2Test9,2021-Nov-05 14:06:33.307940,0.000000
V2Test9,2021-Nov-05 14:07:35.148400,0.000000
V2Test9,2021-Nov-05 14:08:35.723389,0.000000
V2Test9,2021-Nov-05 14:09:36.492337,0.000000
V2Test9,2021-Nov-05 14:10:37.483362,0.000000
V2Test9,2021-Nov-05 14:11:38.042756,0.000000
V2Test9,2021-Nov-05 14:12:38.771378,0.000000
V2Test9,2021-Nov-05 14:13:40.337611,0.000000
V2Test9,2021-Nov-05 14:14:41.558766,0.000000
V2Test9,2021-Nov-05 14:15:42.568922,0.000000
V2Test9,2021-Nov-05 14:16:43.386696,0.000000
V2Test9,2021-Nov-05 14:17:44.287148,0.000000
V2Test9,2021-Nov-05 14:18:45.774348,0.000000
V2Test9,2021-Nov-05 14:19:48.165082,0.000000
V2Test9,2021-Nov-05 14:20:49.644125,0.000000
V2Test9,2021-Nov-05 14:21:50.511220,0.000000
V2Test9,2021-Nov-05 14:22:51.510790,0.000000
V2Test9,2021-Nov-05 14:23:52.490510,0.000000
V2Test9,2021-Nov-05 14:24:53.683388,0.000000
V2Test9,2021-Nov-05 14:25:58.012858,0.000000
V2Test9,2021-Nov-05 14:26:59.256279,0.000000
V2Test9,2021-Nov-05 14:28:00.491449,0.000000
V2Test9,2021-Nov-05 14:29:01.329022,0.000000
V2Test9,2021-Nov-05 14:30:01.855075,0.000000
V2Test9,2021-Nov-05 14:31:04.845616,0.000000
V2Test9,2021-Nov-05 14:32:04.916758,0.000000
V2Test9,2021-Nov-05 14:33:06.037508,0.000000
V2Test9,2021-Nov-05 14:34:06.608815,0.000000
V2Test9,2021-Nov-05 14:35:07.105402,0.000000
V2Test9,2021-Nov-05 14:36:07.866608,0.000000
V2Test9,2021-Nov-05 14:37:08.570100,0.000000
V2Test9,2021-Nov-05 14:38:09.736100,0.000000
V2Test9,2021-Nov-05 14:39:11.844713,0.000000
V2Test9,2021-Nov-05 14:40:12.789451,0.000000
V2Test9,2021-Nov-05 14:41:13.888461,0.000000
V2Test9,2021-Nov-05 14:42:14.693368,0.000000
V2Test9,2021-Nov-05 14:43:15.043642,0.000000
V2Test9,2021-Nov-05 14:44:16.897010,0.000000
V2Test9,2021-Nov-05 14:45:17.890309,0.000000
V2Test9,2021-Nov-05 14:46:19.271161,0.000000
V2Test9,2021-Nov-05 14:47:21.146400,0.000000
V2Test9,2021-Nov-05 14:48:21.583680,0.000000
V2Test9,2021-Nov-05 14:49:22.055473,0.000000
V2Test9,2021-Nov-05 14:50:22.806273,0.000000
V2Test9,2021-Nov-05 14:51:23.219888,0.000000
V2Test9,2021-Nov-05 14:52:24.072076,0.000000
V2Test9,2021-Nov-05 14:53:25.533946,0.000000
V2Test9,2021-Nov-05 14:54:26.490725,0.000000
V2Test9,2021-Nov-05 14:55:27.289958,0.000000
V2Test9,2021-Nov-05 14:56:27.820169,0.000000
V2Test9,2021-Nov-05 14:57:28.218516,0.000000
V2Test9,2021-Nov-05 14:58:28.763906,0.000000
V2Test9,2021-Nov-05 14:59:28.925771,0.000000
V2Test9,2021-Nov-05 15:00:31.063138,0.000000
V2Test9,2021-Nov-05 15:01:31.756026,0.000000
V2Test9,2021-Nov-05 15:02:32.281980,0.000000
V2Test9,2021-Nov-05 15:03:33.136177,0.000000
V2Test9,2021-Nov-05 15:04:33.973152,0.000000
V2Test9,2021-Nov-05 15:05:34.491030,0.000000
V2Test9,2021-Nov-05 15:06:35.134840,0.000000
V2Test9,2021-Nov-05 15:07:37.077931,0.000000
V2Test9,2021-Nov-05 15:08:38.195278,0.000000
V2Test9,2021-Nov-05 15:09:40.572285,0.000000
V2Test9,2021-Nov-05 15:10:42.298916,0.000000
V2Test9,2021-Nov-05 15:11:43.988635,0.000000
V2Test9,2021-Nov-05 15:12:44.935537,0.000000
V2Test9,2021-Nov-05 15:13:46.693196,0.000000
V2Test9,2021-Nov-05 15:14:47.503712,0.000000
V2Test9,2021-Nov-05 15:15:48.074856,0.000000
V2Test9,2021-Nov-05 15:16:49.040049,0.000000
V2Test9,2021-Nov-05 15:17:50.066200,0.000000
V2Test9,2021-Nov-05 15:18:51.920532,0.000000
V2Test9,2021-Nov-05 15:19:55.407048,0.000000
V2Test9,2021-Nov-05 15:20:56.463132,0.000000
V2Test9,2021-Nov-05 15:21:57.857886,0.000000
V2Test9,2021-Nov-05 15:22:59.203299,0.000000
V2Test9,2021-Nov-05 15:24:00.004233,0.000000
V2Test9,2021-Nov-05 15:25:00.701626,0.000000
V2Test9,2021-Nov-05 15:26:01.319578,0.000000
V2Test9,2021-Nov-05 15:27:04.031170,0.000000
V2Test9,2021-Nov-05 15:28:04.936251,0.000000
V2Test9,2021-Nov-05 15:29:07.269825,0.000000
V2Test9,2021-Nov-05 15:30:08.989434,-0.168731
V2Test9,2021-Nov-05 15:31:09.924306,-0.169931
V2Test9,2021-Nov-05 15:32:11.331550,-0.169931
V2Test9,2021-Nov-05 15:33:12.213414,-0.169931
V2Test9,2021-Nov-05 15:34:13.091194,-0.169931
V2Test9,2021-Nov-05 15:35:14.836413,-0.169931
V2Test9,2021-Nov-05 15:36:16.038854,-0.169931
V2Test9,2021-Nov-05 15:37:16.754792,-0.169931
V2Test9,2021-Nov-05 15:38:18.674366,-0.169931
V2Test9,2021-Nov-05 15:39:18.824226,-0.169931
V2Test9,2021-Nov-05 15:40:20.509864,-0.169931
V2Test9,2021-Nov-05 15:41:22.214289,-0.169931
V2Test9,2021-Nov-05 15:42:22.959258,-0.169931
V2Test9,2021-Nov-05 15:43:25.083990,-0.169931
V2Test9,2021-Nov-05 15:44:27.319098,-0.169931
V2Test9,2021-Nov-05 15:45:28.855994,-0.169931
V2Test9,2021-Nov-05 15:46:30.202906,-0.169931
V2Test9,2021-Nov-05 15:47:30.802978,-13.746958
V2Test9,2021-Nov-05 15:48:30.974328,-13.746958
V2Test9,2021-Nov-05 15:49:31.915470,-13.746958
V2Test9,2021-Nov-05 15:50:32.071598,-13.746958
V2Test9,2021-Nov-05 15:51:33.262019,-13.746958
V2Test9,2021-Nov-05 15:52:34.781180,-13.746958
V2Test9,2021-Nov-05 15:53:36.422691,-13.746958
V2Test9,2021-Nov-05 15:54:37.369134,-13.746958
V2Test9,2021-Nov-05 15:55:37.702569,-13.746958
V2Test9,2021-Nov-05 15:56:39.678789,-13.746958
V2Test9,2021-Nov-05 15:57:40.092077,-13.746958
V2Test9,2021-Nov-05 15:58:41.845558,-13.746958
V2Test9,2021-Nov-05 15:59:42.695019,-13.746958
V2Test9,2021-Nov-05 16:00:43.605598,-13.746958
V2Test9,2021-Nov-05 16:01:44.876438,-13.746958
V2Test9,2021-Nov-05 16:02:45.491790,-13.746958
V2Test9,2021-Nov-05 16:03:47.441719,-13.746958
V2Test9,2021-Nov-05 16:04:48.712570,-13.746958
V2Test9,2021-Nov-05 16:05:49.120530,-13.746958
V2Test9,2021-Nov-05 16:06:50.043033,-13.746958
V2Test9,2021-Nov-05 16:07:52.283557,-13.746958
