Name,Time,Cumulative PnL
StopLossHunter_Initial_4,2021-Nov-05 14:54:48.683550,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:55:49.279886,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:56:49.569774,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:57:50.186518,-27.119435
StopLossHunter_Initial_4,2021-Nov-05 14:58:50.448968,-27.318079
StopLossHunter_Initial_4,2021-Nov-05 14:59:50.946488,-27.459175
StopLossHunter_Initial_4,2021-Nov-05 15:00:51.403884,-27.617710
StopLossHunter_Initial_4,2021-Nov-05 15:01:52.392449,-27.868801
StopLossHunter_Initial_4,2021-Nov-05 15:02:53.199479,-27.928747
StopLossHunter_Initial_4,2021-Nov-05 15:03:53.934351,-27.877377
StopLossHunter_Initial_4,2021-Nov-05 15:04:54.689732,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:05:55.598313,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:06:55.853572,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:07:56.285214,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:08:56.678836,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:09:56.963646,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:10:57.150027,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:11:57.557722,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:12:58.044930,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:13:58.279288,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:14:58.459072,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:15:59.016887,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:16:59.788658,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:18:00.370128,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:19:01.433615,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:20:02.435707,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:21:03.896465,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:22:04.532003,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:23:06.980628,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:24:07.240567,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:25:08.294552,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:26:09.104715,-27.988397
StopLossHunter_Initial_4,2021-Nov-05 15:27:09.603749,-27.977137
StopLossHunter_Initial_4,2021-Nov-05 15:28:10.178998,-28.106951
StopLossHunter_Initial_4,2021-Nov-05 15:29:10.816264,-38.536397
StopLossHunter_Initial_4,2021-Nov-05 15:30:10.938608,-51.785625
StopLossHunter_Initial_4,2021-Nov-05 15:31:12.286824,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:32:13.894448,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:33:14.378604,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:34:15.418087,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:35:15.473224,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:36:16.080496,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:37:16.754792,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:38:17.658168,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:39:17.812323,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:40:18.493242,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:41:19.487770,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:42:19.871382,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:43:21.683561,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:44:22.050629,-51.786825
