StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
StopLossHunter_Initial_4,2021-Nov-05 14:58:36.520659,2021-Nov-05 14:58:36.520659,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.980000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145173,,,
StopLossHunter_Initial_4,2021-Nov-05 14:58:40.040207,2021-Nov-05 14:58:40.040207,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.940000,0.008747,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145174,,,
StopLossHunter_Initial_4,2021-Nov-05 14:58:50.643575,2021-Nov-05 14:58:50.643575,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,337.010000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145175,,,
StopLossHunter_Initial_4,2021-Nov-05 14:58:52.864068,2021-Nov-05 14:58:52.864068,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.970000,0.008748,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145176,,,
StopLossHunter_Initial_4,2021-Nov-05 14:59:05.936646,2021-Nov-05 14:59:05.936646,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,337.050000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145177,,,
StopLossHunter_Initial_4,2021-Nov-05 14:59:32.678042,2021-Nov-05 14:59:32.678042,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.970000,0.008748,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145178,,,
StopLossHunter_Initial_4,2021-Nov-05 14:59:38.076555,2021-Nov-05 14:59:38.076555,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,337.010000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145179,,,
StopLossHunter_Initial_4,2021-Nov-05 14:59:53.905300,2021-Nov-05 14:59:53.905300,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.940000,0.008747,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145180,,,
StopLossHunter_Initial_4,2021-Nov-05 14:59:55.577136,2021-Nov-05 14:59:55.577136,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.980000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145181,,,
StopLossHunter_Initial_4,2021-Nov-05 14:59:57.596866,2021-Nov-05 14:59:57.596866,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.960000,0.008748,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145182,,,
