StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
StopLossHunter_Initial_4,2021-Nov-05 15:00:45.295051,MSFT,1,336.890000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145187,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:00:46.592774,MSFT,-1,336.860000,0.008746,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145188,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:00:55.198906,MSFT,1,336.950000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145189,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:00:58.698492,MSFT,-1,336.820000,0.008745,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145190,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:01:02.588113,MSFT,1,336.920000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145191,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:01:04.430017,MSFT,-1,336.880000,0.008746,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145192,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:01:14.866633,MSFT,1,336.930000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145193,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:01:56.709227,MSFT,-1,336.870000,0.008746,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145194,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:02:17.852910,MSFT,1,336.920000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145195,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:02:55.558870,MSFT,-1,336.820000,0.008745,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145196,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:03:14.937131,MSFT,1,336.770000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145197,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:03:16.094568,MSFT,-1,336.740000,0.008743,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145198,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:03:24.812372,MSFT,1,336.700000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145199,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:03:27.033969,MSFT,-1,336.700000,0.008742,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145200,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:03:58.723779,MSFT,1,336.680000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145201,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:04:07.189148,MSFT,-1,336.590000,0.008740,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145202,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:04:09.057649,MSFT,1,336.620000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145203,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:04:10.217879,MSFT,-1,336.610000,0.008740,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145204,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:04:19.264321,MSFT,1,336.650000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145205,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:04:22.600783,MSFT,-1,336.610000,0.008740,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145206,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:04:26.039951,MSFT,1,336.650000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145207,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:26:35.568686,MSFT,-1,336.600000,0.008740,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145208,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:27:11.929927,MSFT,1,336.540000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145209,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:27:11.929988,MSFT,-1,336.510000,0.008738,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145210,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:27:11.929988,MSFT,1,336.540000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145211,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:27:13.331760,MSFT,-1,336.530000,0.008738,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145212,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:27:14.572756,MSFT,1,336.650000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145213,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:27:19.617977,MSFT,-1,336.520000,0.008738,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145214,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:15.178565,MSFT,1,336.510000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145215,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:15.178646,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145216,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:19.793331,MSFT,1,336.410000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145217,,FILL
